"SKU","CostoProm","UltimoCosto","CostoMercadoLibre"
"JSRSBHA01P25Z","0","0","0"
"JSRSBH004P25Z","0","45370","45370"
"JSRSBHA94P25F","0","45373","45373"
"JSRSBHA16P25C","0","37881","37881"
"PLAFBL006P15W","0","23105","23105"
"PLAFAL380P15W","0","23105","23105"
"PLAFBL005P15W","0","23105","23105"
"PLAFAH385P20A","0","22681","22681"
"PLAFAH380P15A","0","16807","16807"
"PLAFAH381P15A","0","16807","16807"
"PLAFAH410P15W","0","0","0"
"PLAFAH383P15A","0","16798","16798"
"PLAFAH413P15W","0","13442","13442"
"PLAFAH411P20W","0","0","0"
"PLAFAH413P20W","0","0","0"
"PLAFAH414P20W","0","0","0"
"PLAFAH411P25W","0","0","0"
"PLAFAH414P25W","0","0","0"
"PLCNAH151P15Z","0","0","0"
"PLAFBL006P20W","0","15123","15123"
"PLAFBL005P20W","0","27727","27727"
"PLAFAL380P20W","0","25206","25206"
"PLAFBL007P20W","0","27727","27727"
"PLAFBL006P25W","0","16384","16384"
"PLAFAL376P25W","0","16384","16384"
"PLAFBL005P25W","0","30038","30038"
"PLAFAL378P25W","0","0","0"
"PPCNBJA01P30Z","0","84025","84025"
"PLECAR119P15Z","0","0","0"
"PLECAR111P15Z","0","0","0"
"PLECAR120P15Z","19156","19156","19156"
"PLECAR123P25Z","0","0","0"
"PLECAR114P25B","0","0","0"
"PLECAR113P25B","29408","29408","29408"
"PLECAR120P25Z","0","0","0"
"PLECAR122P20Z","0","0","0"
"PLECAR113P20B","0","0","0"
"plafal371p25w","0","24990","24990"
"PLAFAH385P25A","0","25202","25202"
"PLCNAL352P20W","0","23526","23526"
"PPCNBJA01P20Z","0","58819","58819"
"PPCNBJA01P25Z","71424","71424","71424"
"CN-1304-BRO","0","23371","23371"
"CN-1304-FLOR","23371","23371","23371"
"CN-1304-HIPP","0","23371","23371"
"CN-1304-PUR","0","23371","23371"
"CN-1304-TUR","0","23371","23371"
"CN-1305-BRO","0","25496","25496"
"CN-1305-FLO","0","25496","25496"
"CN-1305-TUR","0","25496","25496"
"CN-1306-BRO","0","29746","29746"
"CN-1306-FLO","0","29746","29746"
"CN-1306-HIPP","0","29746","29746"
"CN-1306-PUR","0","29746","29746"
"CN-1306-RAY","0","58900","58900"
"CN-1306-TUR","0","29746","29746"
"PLECAR119P20Z","0","27303","27303"
"PLECAR121P20Z","0","27311","27311"
"QUAFBH006P20Z","0","8821","8821"
"QUAFBH006P25Z","0","10082","10082"
"QUAFBH007P25Z","0","10082","10082"
"QUAFAL003P20W","0","18479","18479"
"QUAFAL003P15W","0","14450","14450"
"CN-1933-AZ","0","13500","13500"
"CN-1933-RED","0","13500","13500"
"CN-1933-PIN","0","13500","13500"
"CN-1933-TUR","0","13500","13500"
"CN-1993-ESM","0","14871","14871"
"CN-1993-PUR","0","14871","14871"
"CN-1993-PIN","0","14871","14871"
"jsaflba65p15e","0","20583","20583"
"CN-1994-PUR","0","16996","16996"
"CN-1994-PIN","0","16996","16996"
"CN-1994-GRE","0","16996","16996"
"CN-1995-WHI","0","19121","19121"
"CN-1995-ESM","0","19121","19121"
"jsaflba72p25e","0","29406","29406"
"jsaflba35p25f","0","29406","29406"
"CN-1995-PIN","0","19121","19121"
"jsaflba65p25e","0","29406","29406"
"CN-2007-AMAR","0","26996","26996"
"CN-2007-WH","0","26996","26996"
