"SKU","CostoProm","UltimoCosto","CostoMercadoLibre"
"CN-2007-CEL","0","26996","26996"
"CN-2007-BK","0","26996","26996"
"CN-39","0","12746","12746"
"JSAFAB408P15Z","0","12601","12601"
"JSAFAB406P15Z","0","0","0"
"JSAFAB400P15X","0","12601","12601"
"JSAFAB397P15X","0","14702","14702"
"JSAFAB418P15W","0","14702","14702"
"JSAFAB381P15X","0","14702","14702"
"JSAFAB399P15X","0","12601","12601"
"JSAFAB411P15W","0","14702","14702"
"JSAFAB398P15X","0","12601","12601"
"JSAFAB394P15X","0","11761","11761"
"JSAFAB416P15W","0","13861","13861"
"JSAFAB401P15Z","0","12601","12601"
"JSAFAB407P15Z","0","12601","12601"
"jsafab415p15w","0","14702","14702"
"JSAFAB413P15W","0","13861","13861"
"CN-38-ESM","0","10621","10621"
"CN-38-FTUR","0","10621","10621"
"CN-38-GY","0","10621","10621"
"CN-38-BK","0","10621","10621"
"JSAFAB348P20W","0","15546","15546"
"JSAFAB408P20Z","0","14702","14702"
"JSAFAB350P20W","0","15546","15546"
"JSAFAB406P20Z","0","14702","14702"
"JSAFAB400P20X","0","15546","15546"
"JSAFAB397P20X","0","14702","14702"
"JSAFAB405P20Z","0","0","0"
"jsafab381p20x","0","14701","14701"
"JSAFAB399P20X","0","14701","14701"
"JSAFAB398P20X","0","13442","13442"
"JSAFAB404P20Z","0","14702","14702"
"JSAFAB394P20X","0","14701","14701"
"JSAFAB420P20W","0","16393","16393"
"CN-40-NRAY","0","19990","19990"
"JSAFAB382P20A","0","15546","15546"
"jsafab416p20w","0","13442","13442"
"jsafab410p20w","0","14701","14701"
"JSAFAB402P20Z","0","14702","14702"
"CN-40-RED","0","19990","19990"
"JSAFAB407P20Z","0","14706","14706"
"JSAFAB335P20V","0","15546","15546"
"CN-891-BLU","0","16996","16996"
"CN-891-GY","0","16996","16996"
"CN-891-BK","0","16996","16996"
"JSCNAE110P15W","0","16798","16798"
"JSECAE118P15Z","0","16807","16807"
"CN-1831-BIS","0","18549","18549"
"CN-1831-CAM","0","18549","18549"
"jsecae122p15z","0","16803","16803"
"JSECAE116P15B","0","16803","16803"
"JSECAE119P15Z","0","15123","15123"
"JSECAE021P15","0","16798","16798"
"JSECAE111P15A","0","15123","15123"
"CN-1831-SAN","0","18549","18549"
"JSECAE120P15Z","0","15122","15122"
"JSECAE109P15A","0","16798","16798"
"CN-1831-VIS","0","18549","18549"
"CN-1833","0","23727","23727"
"CN-1307-BLS","0","13995","13995"
"CN-1307-BRO","0","13995","13995"
"CN-1307-CRAY","13995","13995","13995"
"CN-1307-FCEL","0","13995","13995"
"CN-1307-HMO","0","13995","13995"
"CN-1307-NRAY","0","13995","13995"
"CN-1308-BRO","0","14995","14995"
"CN-1308-CRAY","0","14995","14995"
"CN-1308-FCEL","0","14995","14995"
"CN-1308-HMO","0","14995","14995"
"CN-1308-NRAY","0","14995","14995"
"CN-1310-BLS","0","0","0"
"CN-1310-BRO","0","19995","19995"
"CN-1310-CRAY","0","19995","19995"
"CN-1310-FCEL","0","19995","19995"
"CN-1310-HMO","0","19995","19995"
"CN-1310-NRAY","0","19995","19995"
"CN-1309-BLS","0","0","0"
"CN-1309-BR","0","18495","18495"
"CN-1309-CRAY","0","18495","18495"
"CN-1309-FCEL","0","18495","18495"
"CN-1309-HMO","0","18495","18495"
"CN-1309-NRAY","0","18495","18495"
"JSECAE101P20W","0","25201","25201"
"JSECAE100P20W","0","19156","19156"
"JSECAE024P20T","0","25201","25201"
"jsecae102p20w","0","19156","19156"
"JSECAE103P20W","0","21004","21004"
"JSECAE025P20U","0","19156","19156"
"JSECAE023P20T","0","25210","25210"
"JSECAE015P20R","0","25210","25210"
"JSECAE030P20V","0","25210","25210"
"JSECAE029P20V","0","25210","25210"
"JSECAE033P20V","0","19156","19156"
"JSECAE022P20T","0","25210","25210"
"JSECAE018P25S","0","27303","27303"
"JSECAE012P25R","0","27303","27303"
