"Fecha creaci��n de la orden","Nombre del producto","N�� del orden","SKU vendedor","SKU Falabella","Id Art��culo","Falabella-Id","Estado de la orden","Fecha de Entrega","Tipo de transacci��n","Fecha de transacci��n","Divisa","Monto (Sin IVA)","IVA","Monto con IVA","Tipo de comisi��n","% comisi��n","Talla","Opscore","Estado de pago","N�� estado de cuenta","Referencia de pago Fpay","Comentarios","Tipo de env��o","Proveedor log��stico","Modalidad log��stica","Seller ID","Tipo de Seller","Tipo de Documento Tributario","  N�� Documento Tributario"," Categor��a de transacciones"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931684","e6947f88-5197-4372-a553-ce920cee1e5b","entregada","2025-12-05 20:36:06","Cobro Promo envío falabella.com","2025-12-05","CLP","-1398.0","-266.0","-1664.0","","","","5","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Envío FCOM"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931684","e6947f88-5197-4372-a553-ce920cee1e5b","entregada","2025-12-05 20:36:06","Pago de envío comprador","2025-12-05","CLP","0.0","0.0","0.0","","","","5","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","n/a","n/a","A cargo de cliente"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931684","e6947f88-5197-4372-a553-ce920cee1e5b","entregada","2025-12-05 20:36:06","Reembolso por Promo envío falabella.com","2025-12-05","CLP","1398.0","266.0","1664.0","","","","5","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Notas de credito","333550","Envío FCOM"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931685","fc5924c3-aa57-4f85-8054-8fafbb65bf66","entregada","2025-12-05 20:36:06","Cobro por cofinanciamiento logístico","2025-12-05","CLP","-1000.0","-190.0","-1190.0","","","XXS","4","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Cofinanciamiento Logistico"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931685","fc5924c3-aa57-4f85-8054-8fafbb65bf66","entregada","2025-12-05 20:36:06","Cobro por comisión por venta","2025-12-05","CLP","-1071.0","-203.0","-1274.0","commissionseller","0.15","","4","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Comisiones"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931685","fc5924c3-aa57-4f85-8054-8fafbb65bf66","entregada","2025-12-05 20:36:06","Pago de aporte promocionales a cliente (Promo)","2025-12-05","CLP","0.0","0.0","0.0","","","","4","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Notas de credito","333550","Cupones/Promociones"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931685","fc5924c3-aa57-4f85-8054-8fafbb65bf66","entregada","2025-12-05 20:36:06","Reversa de pago de envío comprador","2025-12-05","CLP","0.0","0.0","0.0","","","","5","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","A cargo de cliente"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931685","fc5924c3-aa57-4f85-8054-8fafbb65bf66","entregada","2025-12-05 20:36:06","Pago por precio del producto","2025-12-05","CLP","7136.0","1356.0","8492.0","","","","5","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","n/a","n/a","Pesos"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931685","fc5924c3-aa57-4f85-8054-8fafbb65bf66","entregada","2025-12-05 20:36:06","Cobro Promo envío falabella.com","2025-12-05","CLP","-1397.0","-266.0","-1663.0","","","","5","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Envío FCOM"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931685","fc5924c3-aa57-4f85-8054-8fafbb65bf66","entregada","2025-12-05 20:36:06","Pago de envío comprador","2025-12-05","CLP","0.0","0.0","0.0","","","","5","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","n/a","n/a","A cargo de cliente"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931685","fc5924c3-aa57-4f85-8054-8fafbb65bf66","entregada","2025-12-05 20:36:06","Reembolso por Promo envío falabella.com","2025-12-05","CLP","1397.0","266.0","1663.0","","","","5","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Notas de credito","333550","Envío FCOM"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931686","f555511c-db70-47f6-abd3-5bddade4dcb9","entregada","2025-12-05 20:36:06","Cobro por cofinanciamiento logístico","2025-12-05","CLP","-1000.0","-190.0","-1190.0","","","XXS","4","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Cofinanciamiento Logistico"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931686","f555511c-db70-47f6-abd3-5bddade4dcb9","entregada","2025-12-05 20:36:06","Cobro por comisión por venta","2025-12-05","CLP","-1071.0","-203.0","-1274.0","commissionseller","0.15","","4","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Comisiones"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931686","f555511c-db70-47f6-abd3-5bddade4dcb9","entregada","2025-12-05 20:36:06","Pago de aporte promocionales a cliente (Promo)","2025-12-05","CLP","0.0","0.0","0.0","","","","4","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Notas de credito","333550","Cupones/Promociones"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931686","f555511c-db70-47f6-abd3-5bddade4dcb9","entregada","2025-12-05 20:36:06","Reversa de pago de envío comprador","2025-12-05","CLP","0.0","0.0","0.0","","","","5","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","A cargo de cliente"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931686","f555511c-db70-47f6-abd3-5bddade4dcb9","entregada","2025-12-05 20:36:06","Pago por precio del producto","2025-12-05","CLP","7136.0","1356.0","8492.0","","","","5","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","n/a","n/a","Pesos"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931686","f555511c-db70-47f6-abd3-5bddade4dcb9","entregada","2025-12-05 20:36:06","Cobro Promo envío falabella.com","2025-12-05","CLP","-1397.0","-266.0","-1663.0","","","","5","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Envío FCOM"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931686","f555511c-db70-47f6-abd3-5bddade4dcb9","entregada","2025-12-05 20:36:06","Pago de envío comprador","2025-12-05","CLP","0.0","0.0","0.0","","","","5","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","n/a","n/a","A cargo de cliente"
"2025-12-03 14:00:53","Manta impermeable para Picnic o Playa 2 Mts. Verde","3216583738","20201031-VE","113736984","137931686","f555511c-db70-47f6-abd3-5bddade4dcb9","entregada","2025-12-05 20:36:06","Reembolso por Promo envío falabella.com","2025-12-05","CLP","1397.0","266.0","1663.0","","","","5","Pagado","FACL-SC459DF-20251205-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Notas de credito","333550","Envío FCOM"
"2025-12-04 17:34:57","Tren Navideño Colgante con Luces y Música","3216759883","39102024","138893606","138203115","52a2f04d-1367-4237-95a4-3bfdaaad3ee8","entregada","2025-12-06 00:19:45","Cobro por comisión por venta","2025-12-06","CLP","-3999.0","-760.0","-4759.0","commissionseller","0.17","","4","Pagado","FACL-SC459DF-20251206-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","falaflex","FBS","SC459DF","Principal","Facturas","408928","Comisiones"
"2025-12-04 17:34:57","Tren Navideño Colgante con Luces y Música","3216759883","39102024","138893606","138203115","52a2f04d-1367-4237-95a4-3bfdaaad3ee8","entregada","2025-12-06 00:19:45","Reversa de pago de envío comprador","2025-12-06","CLP","-3353.0","-637.0","-3990.0","","","","5","Pagado","FACL-SC459DF-20251206-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","falaflex","FBS","SC459DF","Principal","Facturas","408928","A cargo de cliente"
"2025-12-04 17:34:57","Tren Navideño Colgante con Luces y Música","3216759883","39102024","138893606","138203115","52a2f04d-1367-4237-95a4-3bfdaaad3ee8","entregada","2025-12-06 00:19:45","Pago por precio del producto","2025-12-06","CLP","23523.0","4469.0","27992.0","","","","5","Pagado","FACL-SC459DF-20251206-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","falaflex","FBS","SC459DF","Principal","n/a","n/a","Pesos"
"2025-12-04 17:34:57","Tren Navideño Colgante con Luces y Música","3216759883","39102024","138893606","138203115","52a2f04d-1367-4237-95a4-3bfdaaad3ee8","entregada","2025-12-06 00:19:45","Pago por envío directo","2025-12-06","CLP","420.0","80.0","500.0","","","","5","Pagado","FACL-SC459DF-20251206-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","falaflex","FBS","SC459DF","Principal","Notas de credito","333550","Falabella Directo (Falabella Flex)"
"2025-12-04 17:34:57","Tren Navideño Colgante con Luces y Música","3216759883","39102024","138893606","138203115","52a2f04d-1367-4237-95a4-3bfdaaad3ee8","entregada","2025-12-06 00:19:45","Pago de envío comprador","2025-12-06","CLP","3353.0","637.0","3990.0","","","","5","Pagado","FACL-SC459DF-20251206-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","falaflex","FBS","SC459DF","Principal","n/a","n/a","A cargo de cliente"
"2025-12-04 16:42:41","Plumón 1.5 Plazas Stitch Fluffly","3216751942","826352","148690224","138189862","7287ca4b-9d04-411b-9121-743852fd6743","entregada","2025-12-06 14:01:22","Cobro por cofinanciamiento logístico","2025-12-06","CLP","-4613.0","-877.0","-5490.0","","","S","4","Pagado","FACL-SC459DF-20251206-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Cofinanciamiento Logistico"
"2025-12-04 16:42:41","Plumón 1.5 Plazas Stitch Fluffly","3216751942","826352","148690224","138189862","7287ca4b-9d04-411b-9121-743852fd6743","entregada","2025-12-06 14:01:22","Cobro por comisión por venta","2025-12-06","CLP","-5376.0","-1022.0","-6398.0","commissionseller","0.2","","4","Pagado","FACL-SC459DF-20251206-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Comisiones"
"2025-12-04 16:42:41","Plumón 1.5 Plazas Stitch Fluffly","3216751942","826352","148690224","138189862","7287ca4b-9d04-411b-9121-743852fd6743","entregada","2025-12-06 14:01:22","Reversa de pago de envío comprador","2025-12-06","CLP","-5034.0","-956.0","-5990.0","","","","5","Pagado","FACL-SC459DF-20251206-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","A cargo de cliente"
"2025-12-04 16:42:41","Plumón 1.5 Plazas Stitch Fluffly","3216751942","826352","148690224","138189862","7287ca4b-9d04-411b-9121-743852fd6743","entregada","2025-12-06 14:01:22","Pago por precio del producto","2025-12-06","CLP","26884.0","5108.0","31992.0","","","","5","Pagado","FACL-SC459DF-20251206-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","n/a","n/a","Pesos"
"2025-12-04 16:42:41","Plumón 1.5 Plazas Stitch Fluffly","3216751942","826352","148690224","138189862","7287ca4b-9d04-411b-9121-743852fd6743","entregada","2025-12-06 14:01:22","Pago de envío comprador","2025-12-06","CLP","5034.0","956.0","5990.0","","","","5","Pagado","FACL-SC459DF-20251206-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","n/a","n/a","A cargo de cliente"
"2025-12-04 23:13:54","Set de Playa Infantil Bluey 3 Piezas – Toalla + Bolso + Jockey","3216805601","826608","148108393","138274076","cd24fa71-3952-4c52-9956-41775f5b0fb4","entregada","2025-12-06 15:24:11","Cobro por cofinanciamiento logístico","2025-12-06","CLP","-1000.0","-190.0","-1190.0","","","XS","4","Pagado","FACL-SC459DF-20251206-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Cofinanciamiento Logistico"
"2025-12-04 23:13:54","Set de Playa Infantil Bluey 3 Piezas – Toalla + Bolso + Jockey","3216805601","826608","148108393","138274076","cd24fa71-3952-4c52-9956-41775f5b0fb4","entregada","2025-12-06 15:24:11","Cobro por comisión por venta","2025-12-06","CLP","-2310.0","-439.0","-2749.0","commissionseller","0.2","","4","Pagado","FACL-SC459DF-20251206-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Comisiones"
"2025-12-04 23:13:54","Set de Playa Infantil Bluey 3 Piezas – Toalla + Bolso + Jockey","3216805601","826608","148108393","138274076","cd24fa71-3952-4c52-9956-41775f5b0fb4","entregada","2025-12-06 15:24:11","Pago de aporte promocionales a cliente (Promo)","2025-12-06","CLP","0.0","0.0","0.0","","","","4","Pagado","FACL-SC459DF-20251206-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Notas de credito","333550","Cupones/Promociones"
"2025-12-04 23:13:54","Set de Playa Infantil Bluey 3 Piezas – Toalla + Bolso + Jockey","3216805601","826608","148108393","138274076","cd24fa71-3952-4c52-9956-41775f5b0fb4","entregada","2025-12-06 15:24:11","Reversa de pago de envío comprador","2025-12-06","CLP","0.0","0.0","0.0","","","","5","Pagado","FACL-SC459DF-20251206-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","A cargo de cliente"
"2025-12-04 23:13:54","Set de Playa Infantil Bluey 3 Piezas – Toalla + Bolso + Jockey","3216805601","826608","148108393","138274076","cd24fa71-3952-4c52-9956-41775f5b0fb4","entregada","2025-12-06 15:24:11","Pago por precio del producto","2025-12-06","CLP","11550.0","2195.0","13745.0","","","","5","Pagado","FACL-SC459DF-20251206-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","n/a","n/a","Pesos"
"2025-12-04 23:13:54","Set de Playa Infantil Bluey 3 Piezas – Toalla + Bolso + Jockey","3216805601","826608","148108393","138274076","cd24fa71-3952-4c52-9956-41775f5b0fb4","entregada","2025-12-06 15:24:11","Cobro Promo envío falabella.com","2025-12-06","CLP","-2517.0","-478.0","-2995.0","","","","5","Pagado","FACL-SC459DF-20251206-CLP","20251209C10219010881552025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Envío FCOM"
